Ano;Mês;UF;Precipitação Total;Temperatura Média
2014;Janeiro;Distrito Federal;261.4;22.02
2014;Fevereiro;Distrito Federal;283.0;21.75
2014;Março;Distrito Federal;690.0;21.22
2014;Abril;Distrito Federal;369.2;21.37
2014;Maio;Distrito Federal;6.6;20.17
2014;Junho;Distrito Federal;14.2;19.22
2014;Julho;Distrito Federal;8.2;18.8
2014;Agosto;Distrito Federal;0.0;20.82
2014;Setembro;Distrito Federal;22.6;23.48
2014;Outubro;Distrito Federal;273.8;20.44
2014;Novembro;Distrito Federal;639.2;21.94
2014;Dezembro;Distrito Federal;936.6;21.37
2014;Janeiro;Goiás;2438.4;23.19
2014;Fevereiro;Goiás;2604.6;21.75
2014;Março;Goiás;3753.2;21.05
2014;Abril;Goiás;2368.4;20.9
2014;Maio;Goiás;273.6;21.19
2014;Junho;Goiás;71.8;21.47
2014;Julho;Goiás;676.4;21.09
2014;Agosto;Goiás;3.8;23.23
2014;Setembro;Goiás;825.6;25.21
2014;Outubro;Goiás;1249.6;25.27
2014;Novembro;Goiás;4580.2;23.91
2014;Dezembro;Goiás;5244.4;22.34
2014;Janeiro;Mato Grosso do Sul;3973.4;23.74
2014;Fevereiro;Mato Grosso do Sul;3676.0;23.35
2014;Março;Mato Grosso do Sul;5374.6;23.65
2014;Abril;Mato Grosso do Sul;2127.6;21.92
2014;Maio;Mato Grosso do Sul;3399.8;18.55
2014;Junho;Mato Grosso do Sul;1345.6;19.01
2014;Julho;Mato Grosso do Sul;2869.4;17.46
2014;Agosto;Mato Grosso do Sul;293.8;20.54
2014;Setembro;Mato Grosso do Sul;2690.2;23.69
2014;Outubro;Mato Grosso do Sul;1386.6;24.69
2014;Novembro;Mato Grosso do Sul;5447.2;24.31
2014;Dezembro;Mato Grosso do Sul;4540.8;24.96
2014;Janeiro;Mato Grosso;6146.6;21.23
2014;Fevereiro;Mato Grosso;7253.8;20.23
2014;Março;Mato Grosso;6659.4;21.57
2014;Abril;Mato Grosso;3193.8;19.47
2014;Maio;Mato Grosso;1482.8;19.63
2014;Junho;Mato Grosso;323.6;22.27
2014;Julho;Mato Grosso;536.4;21.12
2014;Agosto;Mato Grosso;178.2;23.33
2014;Setembro;Mato Grosso;2160.6;24.51
2014;Outubro;Mato Grosso;2305.4;23.07
2014;Novembro;Mato Grosso;5202.8;22.67
2014;Dezembro;Mato Grosso;7709.0;22.74
2014;Janeiro;Alagoas;186.2;26.5
2014;Fevereiro;Alagoas;320.2;26.52
2014;Março;Alagoas;248.8;26.9
2014;Abril;Alagoas;525.2;26.71
2014;Maio;Alagoas;894.2;24.85
2014;Junho;Alagoas;514.2;24.08
2014;Julho;Alagoas;675.6;22.13
2014;Agosto;Alagoas;613.8;22.82
