ano,mes,estado,casos,mortes,temperatura,precipitacao,data_criacao,data_atualizacao
2014,Janeiro,AC,0,0,12.78,918.6,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Janeiro,AL,1,0,26.5,186.2,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Janeiro,AM,0,0,24.69,4136.2,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Janeiro,AP,0,0,25.35,640.4,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Janeiro,BA,5,2,24.77,1776.2,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Janeiro,CE,9,9,27.28,692.8,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Janeiro,DF,2,1,22.02,261.4,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Janeiro,ES,0,3,22.52,361.0,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Janeiro,GO,10,7,23.19,2438.4,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Janeiro,MA,0,2,26.14,2484.0,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Janeiro,MG,22,3,22.84,3879.2,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Janeiro,MS,0,1,23.74,3973.4,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Janeiro,MT,7,1,21.23,6146.6,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Janeiro,PA,1,0,21.36,3665.8,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Janeiro,PB,2,1,26.12,399.0,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Janeiro,PE,4,5,25.97,250.2,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Janeiro,PI,1,0,27.04,877.0,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Janeiro,PR,11,0,23.41,3829.2,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Janeiro,RJ,8,3,23.94,1117.8,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Janeiro,RN,5,0,23.87,168.4,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Janeiro,RO,4,0,24.72,1453.4,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Janeiro,RR,0,0,28.04,3.6,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Janeiro,RS,0,0,22.69,6428.6,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Janeiro,SC,1,0,22.79,3771.2,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Janeiro,SE,0,0,26.31,79.8,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Janeiro,SP,2386,1,21.63,3085.6,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Janeiro,TO,0,0,22.58,2108.6,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Fevereiro,AC,0,0,14.21,826.2,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Fevereiro,AL,3,0,26.52,320.2,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Fevereiro,AM,2,2,23.13,4462.2,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Fevereiro,AP,0,0,25.01,497.4,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Fevereiro,BA,14,0,24.59,2858.0,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Fevereiro,CE,6,1,26.55,1055.0,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Fevereiro,DF,0,3,21.75,283.0,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Fevereiro,ES,0,1,23.02,592.8,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Fevereiro,GO,6,10,21.75,2604.6,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Fevereiro,MA,0,4,25.94,3326.8,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Fevereiro,MG,13,2,23.34,3238.2,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Fevereiro,MS,0,0,23.35,3676.0,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Fevereiro,MT,4,1,20.23,7253.8,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Fevereiro,PA,1,0,21.83,5485.8,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Fevereiro,PB,2,0,25.69,747.0,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Fevereiro,PE,3,5,25.38,876.4,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Fevereiro,PI,1,0,26.25,2166.8,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Fevereiro,PR,7,0,23.56,2833.2,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Fevereiro,RJ,6,3,24.33,882.0,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Fevereiro,RN,4,0,20.9,228.0,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Fevereiro,RO,0,0,24.79,1267.4,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Fevereiro,RR,0,0,28.25,17.0,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Fevereiro,RS,1,0,22.29,6636.2,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Fevereiro,SC,1,0,22.79,2463.6,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Fevereiro,SE,1,0,22.99,196.8,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Fevereiro,SP,9264,6,21.84,2540.6,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Fevereiro,TO,1,0,22.9,2866.8,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Marco,AC,0,0,16.64,1463.4,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Marco,AL,4,0,26.9,248.8,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Marco,AM,0,1,21.41,5598.8,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Marco,AP,0,0,25.43,360.8,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Marco,BA,11,1,24.0,3274.4,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Marco,CE,7,2,26.36,1851.0,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Marco,DF,1,2,21.22,690.0,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Marco,ES,0,1,24.92,859.0,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Marco,GO,2,5,21.05,3753.2,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Marco,MA,3,1,26.15,3346.0,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Marco,MG,23,16,22.61,6220.0,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Marco,MS,3,1,23.65,5374.6,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Marco,MT,0,2,21.57,6659.4,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Marco,PA,1,1,24.09,5710.6,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Marco,PB,4,2,25.89,1185.6,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Marco,PE,5,1,24.58,666.8,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Marco,PI,0,0,25.77,2358.0,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Marco,PR,11,1,21.03,4294.4,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Marco,RJ,6,1,24.03,2252.4,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Marco,RN,4,1,19.6,460.0,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Marco,RO,1,1,25.28,1205.0,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Marco,RR,0,0,25.92,22.0,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Marco,RS,0,0,19.86,6796.0,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Marco,SC,1,0,20.4,3393.4,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Marco,SE,2,0,25.88,277.2,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Marco,SP,26975,12,19.65,3154.4,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Marco,TO,0,0,24.01,2618.8,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Abril,AC,0,0,16.75,846.6,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Abril,AL,1,2,26.71,525.2,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Abril,AM,1,1,22.83,4221.0,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Abril,AP,0,0,25.76,312.8,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Abril,BA,16,3,23.05,2948.6,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Abril,CE,7,4,24.63,1645.0,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Abril,DF,5,1,21.37,369.2,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Abril,ES,3,1,23.08,848.4,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Abril,GO,9,16,20.9,2368.4,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Abril,MA,0,2,26.16,3339.2,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Abril,MG,36,9,22.24,4025.2,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Abril,MS,7,1,21.92,2127.6,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Abril,MT,0,1,19.47,3193.8,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Abril,PA,3,0,22.25,4599.4,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Abril,PB,2,2,25.94,769.0,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Abril,PE,4,3,25.73,1299.2,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Abril,PI,3,1,24.46,2332.6,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Abril,PR,16,8,18.73,2384.6,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Abril,RJ,11,0,22.11,2302.4,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Abril,RN,4,3,20.03,355.8,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Abril,RO,0,0,25.51,633.2,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Abril,RR,0,0,3.66,1.4,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Abril,RS,1,0,18.55,4111.2,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Abril,SC,2,0,18.4,2457.6,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Abril,SE,1,2,26.22,697.6,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Abril,SP,76021,33,19.68,2119.6,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Abril,TO,1,0,25.52,1872.8,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Maio,AC,0,0,15.12,594.6,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Maio,AL,3,0,24.85,894.2,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Maio,AM,1,1,21.59,3769.0,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Maio,AP,0,1,25.63,383.2,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Maio,BA,9,2,22.57,2321.8,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Maio,CE,9,8,24.58,1147.6,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Maio,DF,3,1,20.17,6.6,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Maio,ES,1,5,20.16,175.6,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Maio,GO,9,8,21.19,273.6,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Maio,MA,0,2,26.36,3501.2,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Maio,MG,37,11,19.79,732.6,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Maio,MS,7,0,18.55,3399.8,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Maio,MT,3,0,19.63,1482.8,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Maio,PA,4,0,21.82,3032.8,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Maio,PB,1,1,24.72,1095.0,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Maio,PE,1,4,24.03,1180.8,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Maio,PI,1,1,25.28,1384.8,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Maio,PR,13,3,16.37,2396.2,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Maio,RJ,18,1,19.12,895.2,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Maio,RN,3,5,21.06,810.0,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Maio,RO,2,0,24.96,616.6,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Maio,RR,0,0,28.39,59.0,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Maio,RS,0,0,14.1,4908.4,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Maio,SC,4,0,14.3,1677.6,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Maio,SE,6,0,23.43,642.2,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Maio,SP,55871,22,17.95,1269.8,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Maio,TO,0,0,25.94,646.2,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Junho,AC,0,0,12.08,159.8,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Junho,AL,2,0,24.08,514.2,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Junho,AM,0,1,21.87,2366.6,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Junho,AP,1,0,23.86,382.0,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Junho,BA,5,3,20.86,2182.2,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Junho,CE,3,8,26.41,305.8,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Junho,DF,0,5,19.22,14.2,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Junho,ES,0,1,19.72,369.2,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Junho,GO,2,17,21.47,71.8,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Junho,MA,0,2,25.4,676.2,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Junho,MG,13,2,18.87,652.2,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Junho,MS,2,0,19.01,1345.6,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Junho,MT,2,0,22.27,323.6,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Junho,PA,1,0,23.87,1959.2,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Junho,PB,0,0,23.95,794.6,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Junho,PE,3,3,21.61,624.0,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Junho,PI,2,2,26.79,267.0,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Junho,PR,4,0,16.27,3857.2,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Junho,RJ,4,0,18.31,785.2,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Junho,RN,2,5,20.74,897.2,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Junho,RO,0,0,24.97,64.2,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Junho,RR,0,0,26.15,312.8,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Junho,RS,2,0,10.92,6658.2,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Junho,SC,4,0,12.52,4152.8,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Junho,SE,1,0,22.02,604.4,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Junho,SP,15759,9,17.84,564.6,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Junho,TO,0,0,25.3,10.4,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Julho,AC,0,0,11.9,32.2,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Julho,AL,3,2,22.13,675.6,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Julho,AM,2,1,21.36,1316.0,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Julho,AP,0,0,24.27,151.2,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Julho,BA,9,1,21.66,2699.4,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Julho,CE,4,5,26.38,169.4,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Julho,DF,0,2,18.8,8.2,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Julho,ES,0,1,19.77,606.8,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Julho,GO,4,6,21.09,676.4,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Julho,MA,1,0,25.81,203.0,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Julho,MG,9,5,18.31,1928.4,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Julho,MS,0,1,17.46,2869.4,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Julho,MT,0,0,21.12,536.4,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Julho,PA,4,0,23.02,1108.2,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Julho,PB,2,1,22.95,619.4,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Julho,PE,9,5,20.64,634.6,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Julho,PI,9,1,26.51,43.6,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Julho,PR,0,0,15.01,1823.6,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Julho,RJ,3,1,17.22,1361.6,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Julho,RN,0,3,21.5,451.0,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Julho,RO,1,0,24.66,95.4,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Julho,RR,0,0,26.31,0.0,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Julho,RS,0,0,12.45,4731.4,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Julho,SC,2,0,13.44,1128.6,2025-07-22 22:31:01,2025-07-22 22:31:01
